Location,Price,Year,Kilometers_Driven,Fuel_Type,Transmission,Owner_Type,Seats,Mileage(km/L),Engine(CC),Power(bhp),Brand,Country,Continent,Price_Cat,City_population,Name
Jaipur,6515.08,2010,82407,Diesel,Manual,First,5.0,17.5,1896.0,106.0,Skoda,Germany,Europe,c2,4107,Skoda Laura Elegance MT
Kolkata,4905.47,2013,29000,Petrol,Manual,First,5.0,18.9,1197.0,82.0,Hyundai,Korea,Asia,c1,15134,Hyundai Grand i10 Sportz
Pune,3985.7,2012,225000,Diesel,Manual,Second,5.0,23.59,1364.0,67.0,Toyota,Japan,Asia,c1,6987,Toyota Etios Liva GD
Kolkata,5901.9,2014,45000,Diesel,Manual,First,5.0,23.4,1248.0,74.0,Maruti,India,Asia,c2,15134,Maruti Swift Dzire VDI
Kochi,5334.7,2010,93401,Diesel,Manual,First,5.0,23.0,1396.0,90.0,Hyundai,Korea,Asia,c1,3301,Hyundai i20 Asta 1.4 CRDi (Diesel)
Hyderabad,6974.97,2017,95802,Diesel,Manual,Second,5.0,25.83,1498.0,99.0,Ford,USA,America,c2,10534,Ford Figo 2015-2019 1.5D Trend MT
Pune,10730.72,2016,130000,Diesel,Manual,First,7.0,25.47,1248.0,88.5,Maruti,India,Asia,c3,6987,Maruti Ertiga VDI
Ahmedabad,8814.52,2013,67443,Diesel,Manual,First,7.0,20.77,1248.0,88.8,Maruti,India,Asia,c2,8450,Maruti Ertiga ZDI
Kochi,13382.74,2016,47681,Petrol,Automatic,First,5.0,16.8,1497.0,116.3,Honda,Japan,Asia,c3,3301,Honda City 1.5 V AT Sunroof
Hyderabad,2606.03,2009,35000,Petrol,Manual,First,5.0,19.7,796.0,46.3,Maruti,India,Asia,c1,10534,Maruti Alto LXi BSIII
Hyderabad,45222.32,2016,68000,Diesel,Automatic,First,7.0,10.91,3198.0,197.0,Ford,USA,America,c5,10534,Ford Endeavour 3.2 Titanium AT 4X4
Kochi,16080.75,2019,34688,Diesel,Manual,First,5.0,24.3,1248.0,88.5,Maruti,India,Asia,c4,3301,Maruti Vitara Brezza ZDi Plus
Kolkata,98109.44,2015,10512,Petrol,Automatic,First,2.0,8.6,2706.0,265.0,Porsche,Germany,Europe,c5,15134,Porsche Boxster S tiptronic
Pune,11573.85,2016,58000,Diesel,Manual,First,5.0,22.9,1248.0,74.0,Maruti,India,Asia,c3,6987,Maruti Swift ZDi
Mumbai,6055.19,2014,40000,Petrol,Manual,First,5.0,17.57,1193.0,88.7,Tata,India,Asia,c2,20961,Tata Zest Revotron 1.2 XT
Bangalore,4982.12,2010,61000,Petrol,Manual,Fourth & Above,5.0,17.0,1197.0,80.0,Hyundai,Korea,Asia,c1,13193,Hyundai i20 1.2 Sportz Option
Mumbai,4215.64,2009,86000,Diesel,Manual,First,5.0,19.4,1422.0,70.0,Skoda,Germany,Europe,c1,20961,Skoda Fabia 1.4 TDI Active
Kolkata,11267.26,2015,45000,Diesel,Manual,First,5.0,21.43,1364.0,87.2,Toyota,Japan,Asia,c3,15134,Toyota Corolla Altis D-4D J
Ahmedabad,7204.91,2017,55000,Petrol,Manual,First,5.0,17.0,1198.0,73.75,Volkswagen,Germany,Europe,c2,8450,Volkswagen Ameo 1.2 MPI Comfortline
Kochi,13444.06,2016,36855,Petrol,Manual,Second,5.0,15.29,1591.0,121.3,Hyundai,Korea,Asia,c3,3301,Hyundai Creta 1.6 VTVT S
Kochi,5242.72,2013,46821,Petrol,Manual,First,5.0,20.36,1197.0,78.9,Hyundai,Korea,Asia,c1,3301,Hyundai i10 Magna 1.2
Kolkata,3832.4,2015,120000,Petrol,Manual,First,5.0,18.6,1199.0,76.8,Chevrolet,USA,America,c1,15134,Chevrolet Beat LS
Kolkata,30659.2,2012,29000,Diesel,Automatic,First,5.0,14.74,2993.0,270.9,Jaguar,UK,Europe,c4,15134,Jaguar XF 3.0 Litre S Premium Luxury
Mumbai,8048.04,2014,40000,Petrol,Manual,First,5.0,13.24,1598.0,102.5,Nissan,Japan,Asia,c2,20961,Nissan Terrano XL
Delhi,22227.92,2013,60000,Diesel,Automatic,Second,5.0,15.73,1968.0,174.33,Audi,Germany,Europe,c4,32066,Audi Q3 2012-2015 2.0 TDI Quattro Premium Plus
Mumbai,5288.71,2011,64984,Petrol,Automatic,First,5.0,16.95,1197.0,78.9,Hyundai,Korea,Asia,c1,20961,Hyundai i10 Asta AT
Pune,5058.77,2015,73204,Petrol,Automatic,First,5.0,24.07,998.0,67.1,Maruti,India,Asia,c1,6987,Maruti Alto K10 VXI AGS
Bangalore,78180.96,2014,50000,Diesel,Automatic,First,7.0,11.33,4134.0,335.2,Audi,Germany,Europe,c5,13193,Audi Q7 4.2 TDI Quattro Technology
Kolkata,9964.24,2017,35000,Diesel,Manual,First,5.0,24.3,1248.0,88.5,Maruti,India,Asia,c3,15134,Maruti Vitara Brezza VDi
Hyderabad,5595.3,2013,17729,Petrol,Manual,First,5.0,21.1,814.0,55.2,Hyundai,Korea,Asia,c2,10534,Hyundai EON D Lite Plus
Chennai,11113.96,2012,97000,Diesel,Manual,First,5.0,20.0,1497.0,115.0,Mahindra,India,Asia,c3,11503,Mahindra XUV300 W8 Diesel
Kochi,9213.09,2014,89614,Diesel,Manual,First,5.0,22.0,1582.0,126.2,Hyundai,Korea,Asia,c3,3301,Hyundai Verna CRDi 1.6 SX Option
Kolkata,4292.29,2015,14000,Petrol,Manual,First,5.0,18.9,998.0,67.1,Maruti,India,Asia,c1,15134,Maruti Wagon R VXI
Chennai,6131.84,2012,50000,Petrol,Manual,First,5.0,17.0,1197.0,80.0,Hyundai,Korea,Asia,c2,11503,Hyundai i20 Sportz Option
Delhi,9121.11,2014,62505,Petrol,Manual,First,5.0,17.4,1497.0,117.3,Honda,Japan,Asia,c3,32066,Honda City i VTEC V
Chennai,14103.23,2011,248000,Diesel,Manual,Second,7.0,12.8,2494.0,102.0,Toyota,Japan,Asia,c3,11503,Toyota Innova 2.5 V Diesel 7-seater
Pune,8201.34,2012,94900,Diesel,Manual,First,5.0,16.8,1493.0,110.0,Hyundai,Korea,Asia,c2,6987,Hyundai Verna CRDi SX
Delhi,18395.52,2017,55000,Diesel,Manual,First,7.0,17.6,2179.0,153.86,Tata,India,Asia,c4,32066,Tata Hexa XT
Coimbatore,59693.46,2015,53735,Diesel,Automatic,Second,7.0,12.07,2967.0,241.4,Audi,Germany,Europe,c5,2935,Audi Q7 3.0 TDI Quattro Premium Plus
Coimbatore,4123.66,2008,53934,Petrol,Manual,Second,5.0,18.9,998.0,67.1,Maruti,India,Asia,c1,2935,Maruti Wagon R VXI
Bangalore,42156.4,2013,58500,Diesel,Automatic,Second,5.0,17.09,1995.0,218.0,BMW,Germany,Europe,c5,13193,BMW 5 Series 2013-2017 525d Luxury Line
Kolkata,4215.64,2014,48000,Petrol,Manual,First,5.0,18.0,1198.0,86.7,Honda,Japan,Asia,c1,15134,Honda Amaze EX i-Vtech
Mumbai,4292.29,2016,24000,Petrol,Manual,First,5.0,24.7,796.0,47.3,Maruti,India,Asia,c1,20961,Maruti Alto 800 2016-2019 LXI
Mumbai,9887.59,2016,52001,Petrol,Manual,First,5.0,17.01,1591.0,121.3,Hyundai,Korea,Asia,c3,20961,Hyundai Verna 1.6 SX VTVT
Coimbatore,9013.8,2018,9565,Petrol,Manual,First,5.0,23.84,1199.0,84.0,Tata,India,Asia,c3,2935,Tata Tiago 1.2 Revotron XZ
Pune,7128.26,2013,32953,Petrol,Manual,First,5.0,18.6,1197.0,85.8,Maruti,India,Asia,c2,6987,Maruti Swift LXI
Jaipur,3832.4,2014,18000,Petrol,Manual,First,5.0,21.1,814.0,55.2,Hyundai,Korea,Asia,c1,4107,Hyundai EON Era
Kochi,78717.5,2018,20446,Petrol,Automatic,First,5.0,12.6,1950.0,191.34,Mercedes-Benz,Germany,Europe,c5,3301,Mercedes-Benz E-Class E 220 d
Hyderabad,10500.78,2016,33016,Diesel,Manual,First,5.0,22.54,1396.0,88.73,Hyundai,Korea,Asia,c3,10534,Hyundai i20 Magna 1.4 CRDi
Chennai,8048.04,2012,48000,Diesel,Manual,First,5.0,23.59,1364.0,67.05,Toyota,Japan,Asia,c2,11503,Toyota Etios VD
Coimbatore,14149.22,2014,72022,Diesel,Manual,First,5.0,21.43,1364.0,87.2,Toyota,Japan,Asia,c3,2935,Toyota Corolla Altis Diesel D4DG
Ahmedabad,33725.12,2014,34000,Diesel,Automatic,First,5.0,20.7,1496.0,113.98,Mini,Germany,Europe,c5,8450,Mini Cooper 5 DOOR D
Hyderabad,7956.06,2014,69000,Diesel,Manual,First,5.0,20.14,1498.0,88.8,Volkswagen,Germany,Europe,c2,10534,Volkswagen Polo 1.5 TDI Highline
Pune,6668.38,2009,108000,Petrol,Automatic,First,5.0,13.7,1798.0,157.75,Skoda,Germany,Europe,c2,6987,Skoda Superb Elegance 1.8 TSI AT
Hyderabad,37557.52,2013,34700,Diesel,Automatic,First,5.0,10.0,2148.0,170.0,Mercedes-Benz,Germany,Europe,c5,10534,Mercedes-Benz E-Class 2009-2013 E 220 CDI Avantgarde
Pune,8814.52,2015,79000,Diesel,Manual,First,5.0,17.8,1248.0,75.0,Maruti,India,Asia,c2,6987,Maruti Swift VDi BSIII W/ ABS
Kochi,14087.9,2016,58197,Petrol,Automatic,First,5.0,18.0,1497.0,117.3,Honda,Japan,Asia,c3,3301,Honda City i VTEC CVT VX
Pune,16479.32,2008,66000,Petrol,Automatic,Second,5.0,8.45,2979.0,321.0,BMW,Germany,Europe,c4,6987,BMW 7 Series 2007-2012 740Li
Bangalore,4583.55,2009,60000,Petrol,Automatic,First,5.0,19.2,1197.0,80.0,Hyundai,Korea,Asia,c1,13193,Hyundai i10 Magna AT
Kolkata,5963.21,2014,57000,Diesel,Manual,First,5.0,26.59,1248.0,74.0,Maruti,India,Asia,c2,15134,Maruti Swift Dzire VDI
Coimbatore,17981.62,2018,45555,Diesel,Manual,First,5.0,26.0,1498.0,98.6,Honda,Japan,Asia,c4,2935,Honda City i DTec VX
Coimbatore,4767.51,2016,55137,Petrol,Manual,First,5.0,14.0,796.0,35.0,Maruti,India,Asia,c1,2935,Maruti Omni 8 Seater BSIV
Jaipur,22151.27,2014,93325,Diesel,Manual,Second,5.0,17.2,1968.0,138.1,Skoda,Germany,Europe,c4,4107,Skoda Superb 2009-2014 Elegance 2.0 TDI MT
Ahmedabad,13336.75,2018,38000,Diesel,Manual,First,7.0,24.52,1248.0,88.5,Maruti,India,Asia,c3,8450,Maruti Ertiga SHVS VDI
Kochi,7726.12,2016,57738,Diesel,Manual,First,5.0,24.0,1120.0,70.0,Hyundai,Korea,Asia,c2,3301,Hyundai Grand i10 CRDi Magna
Jaipur,13030.16,2017,38282,Diesel,Manual,First,5.0,28.09,1248.0,88.5,Maruti,India,Asia,c3,4107,Maruti Ciaz VDi Plus SHVS
Delhi,23990.82,2014,64000,Diesel,Automatic,First,5.0,19.27,2143.0,170.0,Mercedes-Benz,Germany,Europe,c4,32066,Mercedes-Benz New C-Class C 220 CDI Avantgarde
Mumbai,8661.22,2015,32000,Diesel,Manual,First,5.0,20.5,1248.0,91.72,Fiat,Italy,Europe,c2,20961,Fiat Avventura MULTIJET Emotion
Bangalore,25293.84,2010,83000,Petrol,Automatic,First,5.0,10.93,2497.0,204.0,Mercedes-Benz,Germany,Europe,c4,13193,Mercedes-Benz E-Class 2009-2013 E 250 Elegance
Ahmedabad,3065.92,2011,76000,CNG,Manual,First,5.0,26.3,998.0,67.1,Maruti,India,Asia,c1,8450,Maruti Zen Estilo LXI Green (CNG)
Pune,5978.54,2012,67200,Petrol,Manual,First,5.0,15.04,1598.0,103.6,Volkswagen,Germany,Europe,c2,6987,Volkswagen Vento Petrol Highline
Jaipur,22227.92,2013,62655,Diesel,Automatic,First,5.0,18.88,1995.0,184.0,BMW,Germany,Europe,c4,4107,BMW 3 Series 320d Luxury Line
Bangalore,67450.24,2015,16900,Diesel,Automatic,First,5.0,14.69,2993.0,258.0,BMW,Germany,Europe,c5,13193,BMW 5 Series 2013-2017 530d M Sport
Delhi,7664.8,2017,8471,Petrol,Manual,First,5.0,18.9,1197.0,81.86,Hyundai,Korea,Asia,c2,32066,Hyundai Grand i10 1.2 Kappa Magna
Hyderabad,30275.96,2016,69000,Diesel,Automatic,First,7.0,11.36,2755.0,171.5,Toyota,Japan,Asia,c4,10534,Toyota Innova Crysta 2.8 ZX AT
Coimbatore,17537.06,2017,30090,Diesel,Automatic,First,5.0,19.6,1461.0,108.45,Renault,France,Europe,c4,2935,Renault Duster 110PS Diesel RxZ AMT
Chennai,2682.68,2011,120000,Diesel,Manual,First,5.0,18.0,1248.0,75.0,Tata,India,Asia,c1,11503,Tata Indica Vista Aura 1.3 Quadrajet
Bangalore,8584.58,2013,23000,Diesel,Manual,First,5.0,17.8,1248.0,74.0,Maruti,India,Asia,c2,13193,Maruti Swift VDI BSIV
Kochi,46632.64,2016,35939,Petrol,Manual,First,5.0,12.3,1796.0,185.0,Mercedes-Benz,Germany,Europe,c5,3301,Mercedes-Benz E-Class 2009-2013 E 200 CGI Avantgarde
Coimbatore,14670.43,2013,116694,Diesel,Manual,First,7.0,15.1,2179.0,140.0,Mahindra,India,Asia,c3,2935,Mahindra XUV500 W8 4WD
Mumbai,5365.36,2016,40448,Diesel,Manual,First,7.0,15.96,2523.0,63.0,Mahindra,India,Asia,c1,20961,Mahindra Bolero ZLX
Coimbatore,16034.76,2018,64456,Diesel,Manual,First,5.0,24.3,1248.0,88.5,Maruti,India,Asia,c4,2935,Maruti Vitara Brezza ZDi
Pune,7434.86,2014,52782,Diesel,Manual,First,5.0,20.5,1248.0,91.72,Fiat,Italy,Europe,c2,6987,Fiat Avventura MULTIJET Emotion
Kochi,8707.21,2016,51672,Petrol,Manual,First,5.0,19.5,1199.0,88.76,Honda,Japan,Asia,c2,3301,Honda Amaze S Petrol
Mumbai,20311.72,2015,56073,Petrol,Automatic,First,5.0,13.7,1798.0,157.75,Skoda,Germany,Europe,c4,20961,Skoda Superb Elegance 1.8 TSI AT
Bangalore,24527.36,2011,65000,Diesel,Automatic,First,5.0,14.74,2993.0,270.9,Jaguar,UK,Europe,c4,13193,Jaguar XF 3.0 Litre S Premium Luxury
Chennai,4598.88,2013,79000,Petrol,Manual,First,5.0,18.9,998.0,67.1,Maruti,India,Asia,c1,11503,Maruti Wagon R VXI BSIII
Kolkata,1517.63,2007,43206,Petrol,Manual,First,5.0,17.0,1086.0,62.1,Hyundai,Korea,Asia,c1,15134,Hyundai Santro Xing XL eRLX Euro III
Mumbai,7664.8,2010,70200,Petrol,Automatic,First,5.0,14.53,1798.0,138.1,Toyota,Japan,Asia,c2,20961,Toyota Corolla Altis VL
Delhi,7281.56,2016,42000,Petrol,Manual,First,5.0,16.1,1197.0,85.0,Maruti,India,Asia,c2,32066,Maruti Swift VXi BSIV
Bangalore,8201.34,2014,62000,Petrol,Manual,First,5.0,16.47,1198.0,74.0,Volkswagen,Germany,Europe,c2,13193,Volkswagen Polo 1.2 MPI Highline
Hyderabad,9167.1,2017,20000,Petrol,Manual,First,5.0,18.9,1197.0,81.86,Hyundai,Korea,Asia,c3,10534,Hyundai Grand i10 1.2 Kappa Asta
Chennai,5365.36,2011,80000,Diesel,Manual,Third,5.0,21.5,1248.0,88.8,Maruti,India,Asia,c1,11503,Maruti SX4 ZDI
Kochi,7312.22,2018,50234,Petrol,Manual,First,5.0,18.9,1197.0,81.86,Hyundai,Korea,Asia,c2,3301,Hyundai Grand i10 1.2 Kappa Magna
Delhi,8354.63,2016,50003,Petrol,Manual,First,5.0,21.4,1197.0,83.1,Maruti,India,Asia,c2,32066,Maruti Baleno Delta 1.2
Ahmedabad,10500.78,2018,1000,Petrol,Automatic,First,5.0,20.3,1199.0,84.0,Tata,India,Asia,c3,8450,Tata Tigor 1.2 Revotron XTA
Jaipur,11190.61,2016,54897,Diesel,Automatic,First,5.0,26.59,1248.0,74.0,Maruti,India,Asia,c3,4107,Maruti Swift Dzire AMT ZDI
Pune,1916.2,2007,108995,Petrol,Manual,First,5.0,15.3,1193.0,65.3,Tata,India,Asia,c1,6987,Tata Indica GLS BS IV
Chennai,12646.92,2015,73000,Diesel,Manual,First,5.0,22.7,1598.0,118.0,Maruti,India,Asia,c3,11503,Maruti SX4 S Cross DDiS 320 Zeta
Ahmedabad,4154.32,2008,65000,Petrol,Manual,First,5.0,16.1,1298.0,88.2,Maruti,India,Asia,c1,8450,Maruti Swift VXI BSIII
Kolkata,5518.66,2016,32000,Petrol,Manual,First,5.0,19.1,1197.0,82.0,Hyundai,Korea,Asia,c2,15134,Hyundai Xcent 1.2 Kappa SX
Ahmedabad,4598.88,2010,65000,Petrol,Manual,First,5.0,18.5,1197.0,80.0,Hyundai,Korea,Asia,c1,8450,Hyundai i20 1.2 Magna
Hyderabad,7128.26,2016,21600,Petrol,Automatic,First,5.0,23.1,998.0,67.04,Maruti,India,Asia,c2,10534,Maruti Celerio VXI AT
Mumbai,14563.12,2010,39000,Diesel,Automatic,First,5.0,14.84,2143.0,170.0,Mercedes-Benz,Germany,Europe,c3,20961,Mercedes-Benz New C-Class C 220 CDI Elegance AT
Mumbai,4522.23,2011,58075,Petrol,Manual,First,5.0,17.5,1298.0,85.8,Maruti,India,Asia,c1,20961,Maruti Swift Dzire VXi
Mumbai,4598.88,2011,58000,Petrol,Manual,First,5.0,15.04,1598.0,103.6,Volkswagen,Germany,Europe,c1,20961,Volkswagen Vento Petrol Trendline
Hyderabad,9121.11,2015,58000,Diesel,Manual,First,5.0,25.2,1248.0,74.0,Maruti,India,Asia,c3,10534,Maruti Swift ZDi
Delhi,6131.84,2008,89000,Petrol,Automatic,First,5.0,14.53,1798.0,138.1,Toyota,Japan,Asia,c2,32066,Toyota Corolla Altis VL
Delhi,3832.4,2008,72000,Petrol,Manual,First,5.0,13.5,1799.0,130.0,Honda,Japan,Asia,c1,32066,Honda Civic 2006-2010 1.8 V MT
Kolkata,17429.76,2017,1800,Petrol,Automatic,First,5.0,16.05,1499.0,110.4,Ford,USA,America,c4,15134,Ford EcoSport 1.5 Ti VCT AT Titanium BE
Pune,3449.16,2010,172050,Diesel,Manual,Second,5.0,19.0,1248.0,93.0,Fiat,Italy,Europe,c1,6987,Fiat Linea Emotion Pack (Diesel)
Jaipur,4752.18,2013,46230,Petrol,Manual,First,5.0,19.81,1086.0,68.05,Hyundai,Korea,Asia,c1,4107,Hyundai i10 Era
Kochi,26336.25,2014,86925,Diesel,Automatic,First,5.0,11.2,2400.0,215.0,Volvo,Sweden,Europe,c4,3301,Volvo XC60 D5 Inscription
Jaipur,9964.24,2018,5000,Petrol,Manual,First,5.0,18.6,1197.0,81.83,Hyundai,Korea,Asia,c3,4107,Hyundai i20 1.2 Asta
Ahmedabad,8737.87,2014,66000,Diesel,Manual,First,5.0,26.0,1498.0,98.6,Honda,Japan,Asia,c2,8450,Honda City i DTEC S
Ahmedabad,12263.68,2013,119000,Diesel,Manual,First,8.0,12.99,2494.0,100.0,Toyota,Japan,Asia,c3,8450,Toyota Innova 2.5 VX (Diesel) 8 Seater BS IV
Chennai,3985.7,2016,45000,Petrol,Manual,First,5.0,25.17,799.0,53.3,Renault,France,Europe,c1,11503,Renault KWID RXT
Hyderabad,3755.75,2009,66149,Petrol,Manual,First,5.0,19.0,998.0,66.1,Maruti,India,Asia,c1,10534,Maruti A-Star Vxi
Kochi,17736.35,2014,42070,Petrol,Automatic,First,5.0,14.8,1595.0,120.7,Mercedes-Benz,Germany,Europe,c4,3301,Mercedes-Benz B Class B180
Kolkata,3525.81,2012,35503,Petrol,Manual,First,5.0,18.9,998.0,67.1,Maruti,India,Asia,c1,15134,Maruti Wagon R LXI BS IV
Jaipur,9044.46,2016,41460,Diesel,Manual,First,5.0,25.2,1248.0,74.0,Maruti,India,Asia,c3,4107,Maruti Swift VDI BSIV
Mumbai,11037.31,2015,40600,Petrol,Automatic,First,5.0,17.0,1591.0,121.3,Hyundai,Korea,Asia,c3,20961,Hyundai Verna VTVT 1.6 AT SX Option
Ahmedabad,9044.46,2013,87000,Diesel,Automatic,First,5.0,22.0,1582.0,126.2,Hyundai,Korea,Asia,c3,8450,Hyundai Verna CRDi 1.6 AT SX Option
Chennai,9197.76,2014,30000,Petrol,Manual,Second,5.0,16.8,1497.0,116.3,Honda,Japan,Asia,c3,11503,Honda City V MT
Kolkata,2989.27,2010,27089,Petrol,Manual,First,5.0,16.0,1086.0,66.7,Hyundai,Korea,Asia,c1,15134,Hyundai i10 Magna Optional 1.1L
Coimbatore,10040.89,2016,53702,Diesel,Manual,First,5.0,23.59,1364.0,67.04,Toyota,Japan,Asia,c3,2935,Toyota Etios GD SP
Hyderabad,38324.0,2015,51000,Diesel,Automatic,First,5.0,27.03,1969.0,190.0,Volvo,Sweden,Europe,c5,10534,Volvo S60 D4 Momentum
Kolkata,4062.34,2012,36542,Diesel,Manual,First,5.0,20.0,1399.0,68.05,Ford,USA,America,c1,15134,Ford Figo Diesel EXI
Mumbai,106540.72,2017,15000,Diesel,Automatic,First,5.0,13.0,2987.0,265.0,Mercedes-Benz,Germany,Europe,c5,20961,Mercedes-Benz E-Class 2015-2017 E350 CDI Avantgrade
Chennai,21461.44,2012,65000,Diesel,Automatic,First,5.0,22.69,1995.0,190.0,BMW,Germany,Europe,c4,11503,BMW 3 Series 320d Luxury Line
Pune,3219.22,2014,32000,Petrol,Manual,Second,5.0,22.74,796.0,47.3,Maruti,India,Asia,c1,6987,Maruti Alto 800 VXI
Hyderabad,31272.38,2017,24393,Diesel,Manual,First,7.0,13.68,2393.0,147.8,Toyota,Japan,Asia,c4,10534,Toyota Innova Crysta 2.4 VX MT
Hyderabad,8707.21,2019,1000,Petrol,Manual,First,5.0,18.78,999.0,75.0,Volkswagen,Germany,Europe,c2,10534,Volkswagen Polo 1.0 MPI Trendline
Mumbai,8507.93,2014,28238,Petrol,Manual,First,5.0,13.24,1598.0,102.5,Nissan,Japan,Asia,c2,20961,Nissan Terrano XL
Mumbai,19545.24,2013,59000,Diesel,Manual,First,7.0,13.5,2477.0,175.56,Mitsubishi,Japan,Asia,c4,20961,Mitsubishi Pajero Sport 4X4
Mumbai,5135.42,2012,92000,Petrol,Manual,Second,5.0,14.8,1799.0,130.2,Honda,Japan,Asia,c1,20961,Honda Civic 2010-2013 1.8 S MT
Kolkata,2376.09,2013,56840,Petrol,Manual,First,5.0,22.74,796.0,47.3,Maruti,India,Asia,c1,15134,Maruti Alto 800 LXI
Coimbatore,9044.46,2013,62746,Diesel,Manual,Second,5.0,20.54,1598.0,103.6,Volkswagen,Germany,Europe,c3,2935,Volkswagen Vento Diesel Highline
Hyderabad,29095.58,2012,96000,Diesel,Automatic,First,5.0,12.35,2179.0,187.74,Land-Rover,India,Asia,c4,10534,Land Rover Freelander 2 HSE
Mumbai,17644.37,2014,24000,Petrol,Manual,First,5.0,13.7,1997.0,153.86,Honda,Japan,Asia,c4,20961,Honda CR-V 2.0L 2WD MT
Mumbai,11880.44,2016,54000,Diesel,Manual,First,7.0,20.77,1248.0,88.76,Maruti,India,Asia,c3,20961,Maruti Ertiga VDI
Chennai,21308.14,2016,90000,Diesel,Manual,First,7.0,12.99,2494.0,100.6,Toyota,Japan,Asia,c4,11503,Toyota Innova 2.5 GX (Diesel) 7 Seater
Kolkata,2069.5,2010,40000,Petrol,Manual,First,5.0,15.0,1368.0,90.0,Tata,India,Asia,c1,15134,Tata Manza Aura Safire
Mumbai,58252.48,2015,65938,Diesel,Automatic,Second,7.0,12.07,2967.0,241.4,Audi,Germany,Europe,c5,20961,Audi Q7 35 TDI Quattro Premium Plus
Mumbai,17782.34,2017,16100,Petrol,Automatic,First,5.0,17.1,1591.0,121.4,Hyundai,Korea,Asia,c4,20961,Hyundai Verna 1.6 SX VTVT (O) AT
Hyderabad,18778.76,2017,3600,Diesel,Automatic,First,5.0,21.5,1498.0,108.5,Volkswagen,Germany,Europe,c4,10534,Volkswagen Vento 1.5 Highline Plus AT 16 Alloy
Jaipur,5825.25,2011,52000,Petrol,Manual,First,5.0,17.0,1497.0,118.0,Honda,Japan,Asia,c2,4107,Honda City 1.5 S MT
Mumbai,4982.12,2014,54000,Diesel,Manual,First,5.0,20.0,1399.0,68.05,Ford,USA,America,c1,20961,Ford Figo Diesel Titanium
Mumbai,9810.94,2016,15399,Petrol,Manual,First,5.0,18.7,1199.0,88.7,Honda,Japan,Asia,c3,20961,Honda Jazz 1.2 VX i VTEC
Bangalore,6055.19,2012,75000,Petrol,Manual,Second,5.0,16.47,1198.0,73.9,Volkswagen,Germany,Europe,c2,13193,Volkswagen Polo Petrol Highline 1.2L
Delhi,5472.67,2010,76752,Petrol,Manual,First,5.0,17.4,1497.0,117.3,Honda,Japan,Asia,c2,32066,Honda City i-VTEC S
Mumbai,1916.2,2005,56000,Petrol,Manual,Second,5.0,17.7,1497.0,78.0,Honda,Japan,Asia,c1,20961,Honda City ZX GXi
Pune,5595.3,2015,70000,CNG,Manual,First,5.0,26.2,998.0,58.2,Maruti,India,Asia,c2,6987,Maruti Wagon R LXI CNG
Kolkata,19162.0,2013,46125,Petrol,Automatic,Second,5.0,12.0,2354.0,187.4,Honda,Japan,Asia,c4,15134,Honda CR-V 2.4L 4WD AT AVN
Ahmedabad,35258.08,2014,35000,Diesel,Automatic,Second,5.0,18.12,1995.0,190.0,BMW,Germany,Europe,c5,8450,BMW 5 Series 2013-2017 520d Luxury Line
Chennai,2069.5,2003,80000,Diesel,Manual,Third,5.0,12.8,1489.0,35.5,Ambassador,India,Asia,c1,11503,Ambassador Classic Nova Diesel
Coimbatore,9688.31,2012,62729,Diesel,Manual,First,8.0,12.05,2179.0,120.0,Mahindra,India,Asia,c3,2935,Mahindra Scorpio VLX 2.2 mHawk BSIII
Kolkata,5212.06,2012,34000,Diesel,Manual,First,5.0,20.54,1598.0,103.6,Volkswagen,Germany,Europe,c1,15134,Volkswagen Vento Diesel Comfortline
Jaipur,1180.38,1999,70000,Petrol,Manual,Second,5.0,17.3,993.0,60.0,Maruti,India,Asia,c1,4107,Maruti Zen VX
Jaipur,1379.66,2009,32000,Petrol,Manual,First,4.0,16.1,796.0,37.0,Maruti,India,Asia,c1,4107,Maruti 800 DX BSII
Delhi,27593.28,2017,21000,Petrol,Automatic,First,5.0,14.28,1798.0,138.03,Toyota,Japan,Asia,c4,32066,Toyota Corolla Altis 1.8 VL CVT
Pune,29126.24,2013,49000,Petrol,Automatic,First,5.0,14.59,1997.0,245.0,BMW,Germany,Europe,c4,6987,BMW 3 Series 328i Sport Line
Chennai,1686.26,2007,40000,Petrol,Manual,Third,5.0,13.8,1299.0,70.0,Ford,USA,America,c1,11503,Ford Ikon 1.3 Flair
Pune,3065.92,2012,78000,Petrol,Manual,Second,5.0,18.6,1199.0,79.4,Chevrolet,USA,America,c1,6987,Chevrolet Beat LT
Ahmedabad,9964.24,2012,52000,Diesel,Manual,First,5.0,21.43,1364.0,86.79,Toyota,Japan,Asia,c3,8450,Toyota Corolla Altis 1.4 DG
Bangalore,14486.47,2014,65213,Diesel,Manual,First,7.0,16.0,2179.0,140.0,Mahindra,India,Asia,c3,13193,Mahindra XUV500 W4
Mumbai,6131.84,2016,170000,Diesel,Manual,First,5.0,24.4,1120.0,71.0,Hyundai,Korea,Asia,c2,20961,Hyundai Xcent 1.1 CRDi Base
Kochi,49437.96,2017,36884,Diesel,Automatic,First,5.0,13.0,2143.0,204.0,Mercedes-Benz,Germany,Europe,c5,3301,Mercedes-Benz E-Class 2015-2017 E250 CDI Avantgarde
Pune,3219.22,2009,62500,Petrol,Manual,First,5.0,20.36,1197.0,78.9,Hyundai,Korea,Asia,c1,6987,Hyundai i10 Sportz
