Location,Price,Year,Kilometers_Driven,Fuel_Type,Transmission,Owner_Type,Seats,Mileage(km/L),Engine(CC),Power(bhp),Brand,Country,Continent,Price_Cat,City_population
Mumbai,8048.04,2015,19000,Petrol,Manual,First,5.0,20.85,1197.0,83.14,Maruti,India,Asia,c2,20961
Jaipur,16862.56,2016,84000,Diesel,Manual,First,5.0,17.72,1968.0,108.5,Skoda,Germany,Europe,c4,4107
Kochi,13949.94,2018,37630,Petrol,Automatic,First,5.0,15.63,1499.0,110.4,Ford,USA,America,c3,3301
Chennai,4982.12,2010,67714,Petrol,Manual,First,5.0,18.5,1197.0,80.0,Hyundai,Korea,Asia,c1,11503
Pune,13030.16,2017,32000,Diesel,Manual,First,5.0,15.0,1248.0,88.5,Maruti,India,Asia,c3,6987
Pune,4752.18,2010,51000,Petrol,Manual,First,5.0,16.2,1599.0,103.2,Hyundai,Korea,Asia,c1,6987
Kochi,30444.59,2015,58390,Diesel,Automatic,First,5.0,18.88,1995.0,184.0,BMW,Germany,Europe,c4,3301
Kolkata,7511.5,2017,14000,Diesel,Manual,First,5.0,24.0,1186.0,73.97,Hyundai,Korea,Asia,c2,15134
Delhi,8737.87,2014,55818,Petrol,Manual,Second,5.0,17.4,1497.0,117.3,Honda,Japan,Asia,c2,32066
Chennai,2682.68,2006,97800,Petrol,Manual,Third,5.0,16.1,1298.0,87.0,Maruti,India,Asia,c1,11503
Kolkata,4445.58,2012,52241,Diesel,Manual,First,5.0,25.2,1248.0,74.0,Maruti,India,Asia,c1,15134
Coimbatore,12003.08,2018,25433,Diesel,Manual,First,5.0,27.39,1248.0,74.0,Maruti,India,Asia,c3,2935
Kochi,12493.62,2015,40611,Diesel,Manual,First,7.0,14.0,2179.0,138.1,Tata,India,Asia,c3,3301
Bangalore,3065.92,2008,72000,Petrol,Manual,Second,5.0,13.2,1495.0,94.0,Hyundai,Korea,Asia,c1,13193
Hyderabad,9581.0,2016,54631,Diesel,Manual,First,5.0,25.2,1248.0,74.0,Maruti,India,Asia,c3,10534
Bangalore,5212.06,2007,60000,Diesel,Manual,Second,5.0,17.8,1248.0,74.0,Maruti,India,Asia,c1,13193
Coimbatore,4890.14,2016,24941,Petrol,Automatic,First,4.0,21.9,624.0,37.48,Tata,India,Asia,c1,2935
Ahmedabad,11880.44,2017,63939,Diesel,Manual,First,7.0,25.47,1248.0,88.5,Maruti,India,Asia,c3,8450
Delhi,4905.47,2014,35214,Petrol,Automatic,Second,5.0,23.1,998.0,67.04,Maruti,India,Asia,c1,32066
Delhi,7511.5,2015,63000,Diesel,Manual,First,5.0,25.2,1248.0,74.0,Maruti,India,Asia,c2,32066
Kochi,5825.25,2012,121377,Petrol,Manual,First,5.0,15.04,1598.0,103.6,Volkswagen,Germany,Europe,c2,3301
Chennai,6131.84,2009,100970,Diesel,Automatic,First,5.0,15.5,1896.0,105.0,Volkswagen,Germany,Europe,c2,11503
Hyderabad,36024.56,2014,60000,Diesel,Automatic,Second,5.0,20.7,1496.0,113.98,Mini,Germany,Europe,c5,10534
Chennai,1762.9,2008,77650,Diesel,Manual,First,5.0,17.2,1396.0,53.5,Tata,India,Asia,c1,11503
Hyderabad,3372.51,2007,71297,Petrol,Manual,First,5.0,17.0,1086.0,63.0,Hyundai,Korea,Asia,c1,10534
Mumbai,40623.44,2008,55001,Diesel,Automatic,Second,7.0,13.16,2997.0,394.0,Land-Rover,India,Asia,c5,20961
Bangalore,16326.02,2015,18955,Petrol,Automatic,First,5.0,18.0,1497.0,117.3,Honda,Japan,Asia,c4,13193
Coimbatore,54696.01,2016,47877,Diesel,Automatic,First,5.0,16.36,2179.0,187.7,Jaguar,UK,Europe,c5,2935
Kochi,48962.74,2017,43368,Diesel,Automatic,First,5.0,15.0,2143.0,204.0,Mercedes-Benz,Germany,Europe,c5,3301
Chennai,6438.43,2011,73000,Diesel,Manual,Third,5.0,18.3,1991.0,147.9,Chevrolet,USA,America,c2,11503
Ahmedabad,15176.3,2015,72007,Diesel,Manual,First,7.0,15.1,2179.0,140.0,Mahindra,India,Asia,c3,8450
Kochi,23699.56,2014,56778,Petrol,Automatic,First,5.0,11.74,1796.0,186.0,Mercedes-Benz,Germany,Europe,c4,3301
Kochi,12968.84,2018,20024,Petrol,Manual,First,5.0,18.2,1199.0,88.7,Honda,Japan,Asia,c3,3301
Kolkata,4982.12,2013,42103,Petrol,Manual,First,5.0,16.78,1496.0,88.73,Toyota,Japan,Asia,c1,15134
Hyderabad,3985.7,2012,67147,Petrol,Manual,First,5.0,19.7,796.0,46.3,Maruti,India,Asia,c1,10534
Coimbatore,7971.39,2016,37806,Petrol,Manual,First,5.0,20.4,1197.0,81.8,Maruti,India,Asia,c2,2935
Pune,2759.33,2009,85000,Petrol,Manual,Third,5.0,19.0,998.0,66.1,Maruti,India,Asia,c1,6987
Chennai,2452.74,2011,35000,Petrol,Manual,First,4.0,25.4,624.0,37.48,Tata,India,Asia,c1,11503
Kolkata,3832.4,2015,72035,Diesel,Manual,First,5.0,25.5,1498.0,99.0,Ford,USA,America,c1,15134
Jaipur,3832.4,2011,48500,Petrol,Manual,First,5.0,16.0,1368.0,90.0,Fiat,Italy,Europe,c1,4107
Coimbatore,10270.83,2017,28854,Petrol,Manual,First,5.0,18.16,1196.0,86.8,Ford,USA,America,c3,2935
Hyderabad,1839.55,2005,92450,Petrol,Manual,First,5.0,15.4,1590.0,94.0,Maruti,India,Asia,c1,10534
Coimbatore,54496.73,2016,14351,Diesel,Automatic,First,5.0,18.88,1995.0,184.0,BMW,Germany,Europe,c5,2935
Jaipur,11880.44,2017,51087,Diesel,Manual,First,5.0,17.9,1998.0,163.7,Chevrolet,USA,America,c3,4107
Chennai,2973.94,2005,50000,Diesel,Manual,First,8.0,12.7,2609.0,116.6,Mahindra,India,Asia,c1,11503
Hyderabad,3372.51,2016,73000,Diesel,Manual,First,5.0,25.0,1396.0,69.0,Tata,India,Asia,c1,10534
Ahmedabad,5825.25,2011,60000,Diesel,Automatic,First,4.0,18.1,1991.0,147.9,Chevrolet,USA,America,c2,8450
Chennai,23990.82,2016,50000,Diesel,Manual,First,8.0,12.8,2494.0,102.0,Toyota,Japan,Asia,c4,11503
Coimbatore,60505.93,2018,36797,Diesel,Automatic,First,5.0,19.27,2143.0,167.62,Mercedes-Benz,Germany,Europe,c5,2935
Kolkata,2299.44,2011,50000,Petrol,Manual,Second,5.0,18.5,1197.0,85.8,Maruti,India,Asia,c1,15134
Ahmedabad,13566.7,2013,94000,Diesel,Manual,First,8.0,12.8,2494.0,102.0,Toyota,Japan,Asia,c3,8450
Bangalore,27439.98,2013,74000,Diesel,Manual,Second,7.0,12.55,2982.0,168.5,Toyota,Japan,Asia,c4,13193
Coimbatore,7787.44,2014,41016,Petrol,Automatic,Second,5.0,16.95,1197.0,78.9,Hyundai,Korea,Asia,c2,2935
Bangalore,9581.0,2012,67000,Diesel,Manual,First,5.0,22.32,1582.0,126.32,Hyundai,Korea,Asia,c3,13193
Bangalore,34874.84,2015,76927,Diesel,Automatic,First,5.0,15.73,1968.0,174.33,Audi,Germany,Europe,c5,13193
Kolkata,2238.12,2010,17088,Petrol,Manual,First,5.0,18.6,1199.0,79.4,Chevrolet,USA,America,c1,15134
Pune,3142.57,2007,112808,Diesel,Manual,Second,5.0,17.8,1399.0,68.0,Ford,USA,America,c1,6987
Coimbatore,6254.48,2014,74980,Diesel,Manual,First,5.0,20.0,1399.0,68.0,Ford,USA,America,c2,2935
Hyderabad,6974.97,2014,44600,Petrol,Automatic,First,5.0,23.1,998.0,67.04,Maruti,India,Asia,c2,10534
Mumbai,21461.44,2013,37000,Diesel,Automatic,First,5.0,20.0,2143.0,107.3,Mercedes-Benz,Germany,Europe,c4,20961
Ahmedabad,16709.26,2016,21000,Petrol,Manual,First,5.0,15.8,1591.0,121.3,Hyundai,Korea,Asia,c4,8450
Bangalore,3755.75,2010,81245,Petrol,Manual,First,5.0,18.9,998.0,67.1,Maruti,India,Asia,c1,13193
Delhi,24220.77,2013,70000,Diesel,Automatic,First,5.0,10.0,2148.0,170.0,Mercedes-Benz,Germany,Europe,c4,32066
Mumbai,12646.92,2017,4018,Petrol,Manual,First,5.0,18.88,1499.0,110.4,Ford,USA,America,c3,20961
Delhi,13030.16,2013,70000,Diesel,Automatic,Second,5.0,13.73,1995.0,148.0,Renault,France,Europe,c3,32066
Coimbatore,23822.2,2016,56532,Diesel,Manual,First,7.0,16.0,2179.0,140.0,Mahindra,India,Asia,c4,2935
Hyderabad,3602.46,2013,26875,Petrol,Manual,First,8.0,16.8,796.0,34.2,Maruti,India,Asia,c1,10534
Coimbatore,6622.39,2015,72599,Petrol,Manual,First,5.0,22.5,998.0,67.04,Maruti,India,Asia,c2,2935
Jaipur,5978.54,2008,205000,Diesel,Manual,Second,7.0,13.1,2499.0,141.0,Ford,USA,America,c2,4107
Hyderabad,7971.39,2011,98000,Diesel,Manual,Second,5.0,22.32,1582.0,126.32,Hyundai,Korea,Asia,c2,10534
Mumbai,8967.82,2018,19500,Petrol,Manual,First,5.0,18.6,1197.0,81.83,Hyundai,Korea,Asia,c3,20961
Bangalore,9581.0,2013,68000,Petrol,Manual,Second,7.0,16.02,1373.0,93.7,Maruti,India,Asia,c3,13193
Coimbatore,27026.08,2019,19654,Diesel,Automatic,First,7.0,14.0,2179.0,155.0,Mahindra,India,Asia,c4,2935
Mumbai,14946.36,2017,26000,Diesel,Manual,First,5.0,23.65,1248.0,88.5,Maruti,India,Asia,c3,20961
Bangalore,84312.8,2015,10000,Petrol,Automatic,First,2.0,18.1,3498.0,306.0,Mercedes-Benz,Germany,Europe,c5,13193
Hyderabad,6285.14,2011,75020,Diesel,Manual,First,5.0,22.07,1199.0,73.9,Volkswagen,Germany,Europe,c2,10534
Hyderabad,18380.19,2011,157000,Diesel,Manual,First,7.0,12.55,2982.0,168.5,Toyota,Japan,Asia,c4,10534
Kochi,20756.28,2017,43773,Diesel,Manual,First,7.0,16.0,2179.0,140.0,Mahindra,India,Asia,c4,3301
Mumbai,85845.76,2016,21000,Diesel,Automatic,First,5.0,17.9,2143.0,201.15,Mercedes-Benz,Germany,Europe,c5,20961
Chennai,9964.24,2016,23280,Petrol,Manual,First,5.0,18.7,1199.0,88.7,Honda,Japan,Asia,c3,11503
Pune,7281.56,2013,88000,Diesel,Manual,First,5.0,23.4,1248.0,74.0,Maruti,India,Asia,c2,6987
Hyderabad,8584.58,2014,67000,Petrol,Manual,First,5.0,17.01,1591.0,121.3,Hyundai,Korea,Asia,c2,10534
Coimbatore,44762.43,2017,59636,Diesel,Automatic,First,7.0,10.91,3198.0,197.0,Ford,USA,America,c5,2935
Kolkata,9734.3,2018,11000,Petrol,Manual,First,5.0,18.6,1197.0,81.83,Hyundai,Korea,Asia,c3,15134
Mumbai,7588.15,2013,60669,Petrol,Manual,First,5.0,16.8,1497.0,116.3,Honda,Japan,Asia,c2,20961
Hyderabad,13030.16,2018,12000,Diesel,Manual,First,5.0,27.4,1498.0,98.6,Honda,Japan,Asia,c3,10534
Kolkata,6898.32,2013,35000,Petrol,Manual,First,5.0,17.1,1591.0,121.3,Hyundai,Korea,Asia,c2,15134
Chennai,8431.28,2015,65000,Diesel,Manual,First,7.0,24.2,1498.0,98.6,Honda,Japan,Asia,c2,11503
Kochi,10056.22,2013,39929,Diesel,Manual,First,7.0,20.77,1248.0,88.8,Maruti,India,Asia,c3,3301
Pune,3525.81,2014,49000,Petrol,Manual,First,5.0,24.07,998.0,67.1,Maruti,India,Asia,c1,6987
Pune,5365.36,2004,77757,Diesel,Manual,Second,10.0,13.1,2446.0,75.0,Toyota,Japan,Asia,c1,6987
Kochi,6974.97,2016,21456,Petrol,Manual,First,5.0,20.36,1197.0,78.9,Hyundai,Korea,Asia,c2,3301
Bangalore,11880.44,2009,74000,Diesel,Automatic,Second,5.0,17.0,1896.0,105.0,Skoda,Germany,Europe,c3,13193
Mumbai,8048.04,2015,37000,Petrol,Manual,Second,5.0,18.6,1197.0,81.83,Hyundai,Korea,Asia,c2,20961
Coimbatore,35702.64,2013,108640,Diesel,Automatic,First,5.0,11.5,2993.0,235.0,BMW,Germany,Europe,c5,2935
Mumbai,36775.71,2016,38000,Diesel,Automatic,First,5.0,22.69,1995.0,190.0,BMW,Germany,Europe,c5,20961
Pune,2744.0,2010,80000,Petrol,Manual,First,5.0,14.49,1399.0,92.7,Chevrolet,USA,America,c1,6987
Mumbai,21308.14,2011,47000,Diesel,Automatic,Second,5.0,14.21,2143.0,203.0,Mercedes-Benz,Germany,Europe,c4,20961
Kolkata,29049.59,2013,31000,Diesel,Automatic,First,5.0,17.68,1968.0,174.33,Audi,Germany,Europe,c4,15134
Kolkata,3817.07,2014,40000,Petrol,Manual,First,5.0,20.51,998.0,67.04,Maruti,India,Asia,c1,15134
Jaipur,4828.82,2016,4152,Petrol,Manual,First,5.0,25.17,799.0,53.3,Renault,France,Europe,c1,4107
Mumbai,9887.59,2017,51000,Diesel,Manual,First,5.0,21.66,1498.0,108.62,Volkswagen,Germany,Europe,c3,20961
Ahmedabad,6515.08,2013,55000,Diesel,Manual,First,5.0,22.07,1199.0,73.9,Volkswagen,Germany,Europe,c2,8450
Hyderabad,4215.64,2014,58500,Petrol,Manual,First,5.0,22.74,796.0,47.3,Maruti,India,Asia,c1,10534
Kochi,10945.33,2017,58620,Petrol,Manual,First,5.0,18.6,1197.0,81.83,Hyundai,Korea,Asia,c3,3301
Mumbai,3740.42,2012,29605,Petrol,Manual,First,5.0,18.3,1197.0,79.9,Toyota,Japan,Asia,c1,20961
Jaipur,5365.36,2012,71172,Petrol,Manual,Third,5.0,17.0,1197.0,80.0,Hyundai,Korea,Asia,c1,4107
Chennai,11190.61,2017,12000,Diesel,Manual,First,5.0,22.54,1396.0,88.73,Hyundai,Korea,Asia,c3,11503
Kolkata,4215.64,2014,25000,Petrol,Manual,First,5.0,20.51,998.0,67.04,Maruti,India,Asia,c1,15134
Bangalore,12570.27,2017,43000,Diesel,Manual,Second,5.0,22.54,1396.0,88.73,Hyundai,Korea,Asia,c3,13193
Mumbai,9979.57,2015,57022,Petrol,Automatic,First,5.0,17.21,1197.0,103.6,Volkswagen,Germany,Europe,c3,20961
Pune,6515.08,2015,92000,Diesel,Manual,First,5.0,20.0,1399.0,68.05,Ford,USA,America,c2,6987
Coimbatore,9519.68,2014,33372,Petrol,Manual,Second,5.0,18.6,1197.0,85.8,Maruti,India,Asia,c3,2935
Kochi,7020.96,2016,52625,Diesel,Manual,First,5.0,24.0,1120.0,70.0,Hyundai,Korea,Asia,c2,3301
Chennai,11497.2,2016,215000,Diesel,Manual,First,7.0,14.02,2179.0,118.3,Mahindra,India,Asia,c3,11503
Delhi,3219.22,2012,65537,CNG,Manual,First,5.0,26.83,796.0,38.4,Maruti,India,Asia,c1,32066
Coimbatore,6269.81,2014,60138,Petrol,Manual,First,5.0,19.81,1086.0,68.05,Hyundai,Korea,Asia,c2,2935
Mumbai,16479.32,2014,84000,Diesel,Automatic,First,5.0,19.3,1968.0,141.0,Skoda,Germany,Europe,c4,20961
Mumbai,63617.84,2014,47000,Diesel,Automatic,First,7.0,15.97,2993.0,258.0,BMW,Germany,Europe,c5,20961
Hyderabad,6745.02,2014,33450,Petrol,Automatic,First,5.0,23.1,998.0,67.04,Maruti,India,Asia,c2,10534
Jaipur,9581.0,2013,125000,Diesel,Manual,Second,5.0,20.54,1598.0,103.6,Volkswagen,Germany,Europe,c3,4107
Pune,16096.08,2011,99606,Diesel,Automatic,Second,5.0,16.07,1995.0,181.0,BMW,Germany,Europe,c4,6987
Mumbai,11113.96,2014,64000,Diesel,Manual,First,7.0,20.77,1248.0,88.8,Maruti,India,Asia,c3,20961
Hyderabad,4905.47,2013,51000,Diesel,Manual,First,5.0,20.0,1399.0,68.05,Ford,USA,America,c1,10534
Mumbai,6055.19,2014,57000,Petrol,Manual,First,5.0,16.47,1198.0,74.0,Volkswagen,Germany,Europe,c2,20961
Coimbatore,18502.83,2009,48040,Diesel,Automatic,Second,5.0,16.77,2967.0,241.38,Audi,Germany,Europe,c4,2935
Pune,28513.06,2017,43200,Diesel,Manual,First,7.0,13.68,2393.0,147.8,Toyota,Japan,Asia,c4,6987
Delhi,8737.87,2013,66000,Diesel,Automatic,First,5.0,22.32,1582.0,126.3,Hyundai,Korea,Asia,c2,32066
Kolkata,2682.68,2013,31000,Petrol,Manual,First,5.0,17.92,1086.0,62.1,Hyundai,Korea,Asia,c1,15134
Delhi,16847.23,2011,46000,Diesel,Automatic,Second,5.0,16.55,1968.0,147.51,Audi,Germany,Europe,c4,32066
Kolkata,22227.92,2012,47346,Diesel,Automatic,First,5.0,16.55,1968.0,147.51,Audi,Germany,Europe,c4,15134
Jaipur,4767.51,2009,100000,Diesel,Manual,First,5.0,17.0,1896.0,105.0,Skoda,Germany,Europe,c1,4107
Coimbatore,21400.12,2015,63856,Petrol,Automatic,First,5.0,13.7,1997.0,153.86,Honda,Japan,Asia,c4,2935
Coimbatore,10899.35,2015,72996,Diesel,Manual,First,5.0,22.32,1582.0,126.32,Hyundai,Korea,Asia,c3,2935
Chennai,10577.42,2014,23000,Diesel,Manual,First,7.0,24.5,1498.0,98.6,Honda,Japan,Asia,c3,11503
Coimbatore,11911.1,2018,15985,Petrol,Manual,First,5.0,18.6,1197.0,81.83,Hyundai,Korea,Asia,c3,2935
Kolkata,8431.28,2011,98000,Diesel,Manual,Second,8.0,12.8,2494.0,102.0,Toyota,Japan,Asia,c2,15134
Hyderabad,8201.34,2014,70089,Petrol,Manual,First,5.0,18.6,1197.0,81.83,Hyundai,Korea,Asia,c2,10534
Chennai,6898.32,2011,99000,Diesel,Manual,Second,7.0,13.6,2523.0,63.0,Mahindra,India,Asia,c2,11503
Jaipur,7281.56,2014,72000,Diesel,Manual,First,5.0,20.34,1498.0,103.2,Volkswagen,Germany,Europe,c2,4107
Coimbatore,50281.09,2015,44194,Diesel,Automatic,First,5.0,16.36,2179.0,187.7,Jaguar,UK,Europe,c5,2935
Mumbai,1073.07,2005,102000,Petrol,Manual,First,5.0,17.3,993.0,60.0,Maruti,India,Asia,c1,20961
Coimbatore,77092.56,2018,56652,Diesel,Automatic,First,5.0,13.0,2987.0,258.0,Mercedes-Benz,Germany,Europe,c5,2935
Mumbai,16847.23,2010,41650,Diesel,Manual,Second,7.0,11.5,2982.0,171.0,Toyota,Japan,Asia,c4,20961
Coimbatore,8538.59,2015,61717,Petrol,Automatic,First,5.0,18.9,1197.0,82.0,Hyundai,Korea,Asia,c2,2935
Jaipur,9044.46,2018,25302,Diesel,Manual,First,5.0,25.4,1186.0,73.97,Hyundai,Korea,Asia,c3,4107
Coimbatore,14455.81,2016,47016,Petrol,Manual,First,5.0,15.29,1591.0,121.3,Hyundai,Korea,Asia,c3,2935
Bangalore,4445.58,2010,69000,Petrol,Manual,First,5.0,20.36,1197.0,78.9,Hyundai,Korea,Asia,c1,13193
Delhi,5641.29,2016,32700,Petrol,Manual,First,5.0,19.4,1198.0,86.8,Honda,Japan,Asia,c2,32066
Coimbatore,33219.24,2015,101337,Diesel,Automatic,First,7.0,12.55,2982.0,168.5,Toyota,Japan,Asia,c5,2935
Ahmedabad,19162.0,2011,59000,Diesel,Automatic,First,5.0,16.55,1968.0,140.0,Audi,Germany,Europe,c4,8450
Kochi,30536.56,2018,41736,Diesel,Automatic,First,7.0,11.36,2755.0,171.5,Toyota,Japan,Asia,c4,3301
Jaipur,10347.48,2014,71649,Diesel,Manual,First,5.0,25.1,1498.0,98.6,Honda,Japan,Asia,c3,4107
Kochi,10669.4,2015,80606,Diesel,Manual,First,5.0,25.1,1498.0,98.6,Honda,Japan,Asia,c3,3301
Jaipur,4982.12,2017,63262,Petrol,Manual,First,5.0,21.7,999.0,67.0,Renault,France,Europe,c1,4107
Hyderabad,13260.1,2018,5456,Diesel,Manual,First,5.0,28.4,1248.0,74.0,Maruti,India,Asia,c3,10534
Pune,7664.8,2017,7500,Petrol,Automatic,First,5.0,23.1,998.0,67.04,Maruti,India,Asia,c2,6987
Delhi,8431.28,2011,66000,Diesel,Manual,First,7.0,15.1,2179.0,140.0,Mahindra,India,Asia,c2,32066
Jaipur,3985.7,2010,66770,Petrol,Manual,Second,5.0,20.36,1197.0,78.9,Hyundai,Korea,Asia,c1,4107
Kochi,5227.39,2014,58472,Petrol,Manual,First,5.0,19.81,1086.0,68.05,Hyundai,Korea,Asia,c1,3301
Kolkata,4138.99,2011,46687,Petrol,Manual,First,5.0,22.0,1197.0,81.8,Maruti,India,Asia,c1,15134
Chennai,8431.28,2008,77000,Petrol,Automatic,Fourth & Above,5.0,9.7,1995.0,163.5,Maruti,India,Asia,c2,11503
Kolkata,53653.6,2012,7000,Petrol,Automatic,First,4.0,14.33,1984.0,226.6,Audi,Germany,Europe,c5,15134
Mumbai,14946.36,2011,48000,Petrol,Automatic,Second,5.0,14.74,1991.0,184.0,Mercedes-Benz,Germany,Europe,c3,20961
Mumbai,6515.08,2013,47000,Diesel,Manual,First,5.0,21.64,1461.0,84.8,Nissan,Japan,Asia,c2,20961
Ahmedabad,4905.47,2015,51530,Petrol,Manual,First,5.0,18.9,998.0,67.1,Maruti,India,Asia,c1,8450
Bangalore,10500.78,2014,25789,Diesel,Manual,Second,5.0,23.4,1248.0,74.0,Maruti,India,Asia,c3,13193
Delhi,6898.32,2015,48000,Diesel,Manual,First,5.0,25.8,1498.0,98.6,Honda,Japan,Asia,c2,32066
Delhi,5442.01,2012,52000,Diesel,Manual,First,5.0,28.4,1248.0,74.0,Maruti,India,Asia,c2,32066
Hyderabad,2912.62,2010,95637,CNG,Manual,Second,5.0,13.2,1495.0,93.7,Hyundai,Korea,Asia,c1,10534
Hyderabad,5518.66,2008,131000,Diesel,Manual,First,7.0,10.5,2609.0,120.0,Mahindra,India,Asia,c2,10534
Kochi,33418.53,2015,42076,Diesel,Automatic,First,5.0,13.0,2143.0,201.1,Mercedes-Benz,Germany,Europe,c5,3301
Mumbai,20694.96,2012,76000,Diesel,Manual,Second,7.0,13.0,2982.0,168.5,Toyota,Japan,Asia,c4,20961
Bangalore,4077.67,2016,20487,Petrol,Manual,First,5.0,22.7,799.0,53.64,Datsun,Japan,Asia,c1,13193
Delhi,5748.6,2010,43000,Petrol,Manual,Second,5.0,16.8,1497.0,116.3,Honda,Japan,Asia,c2,32066
Pune,49054.72,2018,17000,Petrol,Automatic,First,5.0,19.16,2494.0,158.2,Toyota,Japan,Asia,c5,6987
Coimbatore,12370.99,2016,60805,Diesel,Manual,First,5.0,26.0,1498.0,98.6,Honda,Japan,Asia,c3,2935
Kochi,8645.89,2012,58775,Diesel,Manual,First,5.0,19.33,1968.0,138.1,Volkswagen,Germany,Europe,c2,3301
Hyderabad,36775.71,2013,70181,Diesel,Automatic,First,5.0,17.68,1968.0,174.33,Audi,Germany,Europe,c5,10534
Coimbatore,11497.2,2016,85827,Diesel,Manual,First,7.0,20.77,1248.0,88.76,Maruti,India,Asia,c3,2935
Jaipur,41389.92,2016,58205,Diesel,Automatic,First,5.0,19.27,2143.0,167.62,Mercedes-Benz,Germany,Europe,c5,4107
Mumbai,4368.94,2008,91000,Diesel,Manual,Second,5.0,19.3,1248.0,73.9,Maruti,India,Asia,c1,20961
Pune,9734.3,2012,74000,Diesel,Manual,First,5.0,19.01,1461.0,108.45,Renault,France,Europe,c3,6987
Hyderabad,5058.77,2010,79324,Diesel,Manual,First,5.0,21.1,1248.0,73.9,Maruti,India,Asia,c1,10534
Bangalore,7664.8,2013,38623,Petrol,Manual,First,5.0,19.1,1197.0,85.8,Maruti,India,Asia,c2,13193
Coimbatore,9902.92,2014,59923,Diesel,Manual,First,5.0,22.9,1248.0,74.0,Maruti,India,Asia,c3,2935
Jaipur,5748.6,2017,23360,Petrol,Manual,First,5.0,21.1,814.0,55.2,Hyundai,Korea,Asia,c2,4107
Kochi,2330.1,2003,61495,Petrol,Manual,Third,5.0,17.3,993.0,60.0,Maruti,India,Asia,c1,3301
Coimbatore,5533.99,2012,56661,Petrol,Manual,First,7.0,15.1,1196.0,73.0,Maruti,India,Asia,c2,2935
Coimbatore,67051.67,2017,40318,Diesel,Automatic,First,5.0,14.16,1968.0,174.3,Audi,Germany,Europe,c5,2935
Chennai,30659.2,2014,60000,Diesel,Automatic,First,5.0,15.73,1968.0,174.33,Audi,Germany,Europe,c4,11503
Pune,4598.88,2008,103000,Diesel,Automatic,Second,2.0,36.59,799.0,40.0,Smart,Germany,Europe,c1,6987
Hyderabad,5595.3,2010,130000,Diesel,Manual,First,5.0,19.3,1248.0,73.9,Maruti,India,Asia,c2,10534
Mumbai,8048.04,2013,20000,Diesel,Manual,First,10.0,14.07,1978.0,83.1,Tata,India,Asia,c2,20961
Hyderabad,88911.68,2016,76000,Diesel,Automatic,First,7.0,15.97,2993.0,258.0,BMW,Germany,Europe,c5,10534
Mumbai,13260.1,2015,30000,Petrol,Automatic,First,5.0,18.0,1497.0,117.3,Honda,Japan,Asia,c3,20961
Delhi,3832.4,2015,150000,Diesel,Manual,First,5.0,25.0,1396.0,69.01,Tata,India,Asia,c1,32066
Chennai,11880.44,2014,28000,Petrol,Automatic,First,5.0,16.93,1197.0,103.6,Volkswagen,Germany,Europe,c3,11503
Bangalore,6361.78,2015,74000,Petrol,Manual,First,5.0,23.1,998.0,67.04,Maruti,India,Asia,c2,13193
Delhi,16632.62,2011,75000,Diesel,Manual,First,7.0,11.5,2982.0,171.0,Toyota,Japan,Asia,c4,32066
Delhi,8477.27,2010,76000,Petrol,Automatic,Second,5.0,11.3,2360.0,170.0,Mitsubishi,Japan,Asia,c2,32066
Pune,17629.04,2014,64889,Diesel,Automatic,First,5.0,15.5,1896.0,105.0,Volkswagen,Germany,Europe,c4,6987
Hyderabad,61318.4,2010,10000,Petrol,Manual,First,2.0,9.0,3436.0,320.0,Porsche,Germany,Europe,c5,10534
Kolkata,14179.88,2015,43000,Diesel,Manual,First,5.0,19.67,1582.0,126.2,Hyundai,Korea,Asia,c3,15134
Pune,3510.48,2011,47490,Petrol,Manual,First,5.0,17.5,1198.0,75.0,Skoda,Germany,Europe,c1,6987
Chennai,10730.72,2015,80000,Diesel,Manual,First,5.0,22.77,1498.0,98.59,Ford,USA,America,c3,11503
Bangalore,2529.38,2007,60000,Petrol,Manual,Second,5.0,18.2,1061.0,64.0,Maruti,India,Asia,c1,13193
Ahmedabad,12646.92,2017,6006,Petrol,Manual,First,5.0,20.73,1373.0,91.1,Maruti,India,Asia,c3,8450
Kochi,14011.25,2011,71703,Petrol,Automatic,First,5.0,14.74,1991.0,181.03,Mercedes-Benz,Germany,Europe,c3,3301
Hyderabad,9964.24,2016,33000,Petrol,Manual,First,5.0,17.8,1198.0,86.7,Honda,Japan,Asia,c3,10534
Kolkata,4522.23,2012,60000,Diesel,Manual,First,5.0,23.59,1364.0,67.0,Toyota,Japan,Asia,c1,15134
Jaipur,8814.52,2015,91000,Diesel,Manual,First,5.0,19.87,1461.0,83.8,Renault,France,Europe,c2,4107
Hyderabad,4368.94,2012,72000,LPG,Manual,First,5.0,26.2,998.0,58.2,Maruti,India,Asia,c1,10534
Kolkata,3219.22,2011,43000,Petrol,Manual,Second,5.0,16.47,1198.0,73.9,Volkswagen,Germany,Europe,c1,15134
Coimbatore,20771.61,2017,63770,Diesel,Manual,First,5.0,19.67,1582.0,126.2,Hyundai,Korea,Asia,c4,2935
Kolkata,31425.68,2012,43510,Diesel,Automatic,First,5.0,14.74,2993.0,270.9,Jaguar,UK,Europe,c4,15134
Mumbai,30659.2,2017,52000,Diesel,Manual,First,5.0,16.3,1956.0,170.0,Jeep,USA,America,c4,20961
